OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Epuletenergetikai_tombazonosito;Tortenelmi_varosresz_nev_modositott;KSH_korzet;Shape_Length;Shape_Area
2249;Magyarország;Szarvaskő;;;Szarvaskő_001;;Szarvaskő;580,112064615076750;9271,374999958088700
2250;Magyarország;Szarvaskő;;;Szarvaskő_002;;Szarvaskő;520,640862283501180;5537,524999924005000
2251;Magyarország;Szarvaskő;;;Szarvaskő_003;;Szarvaskő;816,994138448480040;12896,314955989901000
2252;Magyarország;Szarvaskő;;;Szarvaskő_004;;Szarvaskő;177,987342334547240;1483,075000015646100
2253;Magyarország;Szarvaskő;;;Szarvaskő_005;;Szarvaskő;421,603097168971260;5106,969999986812600
2254;Magyarország;Szarvaskő;;;Szarvaskő_006;;Szarvaskő;192,934286492283720;1634,295000076592000
2255;Magyarország;Szarvaskő;;;Szarvaskő_007;;Szarvaskő;398,985661926504350;7746,284999943115500
2256;Magyarország;Szarvaskő;;;Szarvaskő_008;;Szarvaskő;325,154395373122720;4239,230000055097700
2257;Magyarország;Szarvaskő;;;Szarvaskő_009;;Szarvaskő;682,806001151080520;15065,030219969443000
2258;Magyarország;Szarvaskő;;;Szarvaskő_010;;Szarvaskő;209,108196894842560;2521,085244972813600
2259;Magyarország;Szarvaskő;;;Szarvaskő_011;;Szarvaskő;1073,288402331329300;30024,095000086651000
2260;Magyarország;Szarvaskő;;;Szarvaskő_012;;Szarvaskő;140,712076753904430;1129,104999991580800
2261;Magyarország;Szarvaskő;;;Szarvaskő_013;;Szarvaskő;250,454089778212530;2984,959500152288000
2262;Magyarország;Szarvaskő;;;Szarvaskő_014;;Szarvaskő;199,083980925552310;1625,835000002719400
2263;Magyarország;Szarvaskő;;;Szarvaskő_015;;Szarvaskő;583,377092264404720;12233,370415032645000
2264;Magyarország;Szarvaskő;;;Szarvaskő_016;;Szarvaskő;547,820804826819310;5805,135204760214900
2265;Magyarország;Szarvaskő;;;Szarvaskő_017;;Szarvaskő;739,108901823827980;16361,559999774363000
2266;Magyarország;Szarvaskő;;;Szarvaskő_018;;Szarvaskő;394,019777388628310;5596,324999988264600
2267;Magyarország;Szarvaskő;;;Szarvaskő_019;;Szarvaskő;402,718959808010650;4938,552465032554200
2268;Magyarország;Szarvaskő;;;Szarvaskő_020;;Szarvaskő;508,725898597525030;7264,279999961033400
2269;Magyarország;Szarvaskő;;;Szarvaskő_021;;Szarvaskő;914,462512779334590;33023,725000195955000
2270;Magyarország;Szarvaskő;;;Szarvaskő_022;;Szarvaskő;774,871559455931330;27991,505792716529000
2271;Magyarország;Szarvaskő;;;Szarvaskő_023;;Szarvaskő;483,457943667606910;13520,295000068398000
2272;Magyarország;Szarvaskő;;;Szarvaskő_024;;Szarvaskő;367,790472098897960;7111,664999892413100