OBJECTID,Orszag_nev,Telepules_nev,Shape_Length,Shape_Area
1,Magyarország,Aldebrő,39222.28892144516,21777372.457554217
2,Magyarország,Andornaktálya,17361.989374718723,16745194.897316521
3,Magyarország,Bogács,24307.353640738147,24693243.374409888
4,Magyarország,Bükkzsérc,38927.15512459359,37247218.12059167
5,Magyarország,Cserépfalu,34576.28996608843,44643461.50167164
6,Magyarország,Cserépváralja,20109.39578994246,14613526.112813259
7,Magyarország,Demjén,24857.385281602485,25085217.296403937
8,Magyarország,Eger,58740.914906862345,92196807.77306464
9,Magyarország,Egerbakta,24607.75789561289,32376211.745452728
10,Magyarország,Egerszalók,28043.90965425904,23107658.12014493
11,Magyarország,Egerszólát,28787.371406668157,26098153.9010641
12,Magyarország,Feldebrő,28198.108913128875,26516717.172177974
13,Magyarország,Felsőtárkány,41025.761556624464,77326681.71683891
14,Magyarország,Kál,31353.97530473886,34808148.975631036
15,Magyarország,Kápolna,25494.480745611425,21510446.014958493
16,Magyarország,Kerecsend,19719.852720333754,24579783.291183732
17,Magyarország,Kompolt,29078.23186869978,22727108.973393843
18,Magyarország,Maklár,24294.47804241697,28008101.93097036
19,Magyarország,Nagytálya,17819.765160507774,13185053.908699002
20,Magyarország,Noszvaj,22737.796116400586,18842366.000522256
21,Magyarország,Novaj,20496.57669720183,18519508.413771026
22,Magyarország,Ostoros,29191.736469488365,23517531.536940344
23,Magyarország,Sirok,41137.35932189415,63389572.327675544
24,Magyarország,Szarvaskő,16070.854664108749,12589147.598337209
25,Magyarország,Szomolya,20889.952119310183,22687395.174908236
26,Magyarország,Tarnaszentmária,18060.798308659738,11004343.225551145
27,Magyarország,Tófalu,23296.360310259795,14481160.731787855
28,Magyarország,Verpelét,47925.25104135285,53182696.22551907