OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Epuletenergetikai_tombazonosito,Tortenelmi_varosresz_nev_modositott,KSH_korzet,Shape_Length,Shape_Area
2249,Magyarország,Szarvaskő,,,Szarvaskő_001,,Szarvaskő,580.1120646150767,9271.374999958089
2250,Magyarország,Szarvaskő,,,Szarvaskő_002,,Szarvaskő,520.6408622835012,5537.524999924005
2251,Magyarország,Szarvaskő,,,Szarvaskő_003,,Szarvaskő,816.99413844848,12896.314955989901
2252,Magyarország,Szarvaskő,,,Szarvaskő_004,,Szarvaskő,177.98734233454724,1483.075000015646
2253,Magyarország,Szarvaskő,,,Szarvaskő_005,,Szarvaskő,421.60309716897126,5106.969999986813
2254,Magyarország,Szarvaskő,,,Szarvaskő_006,,Szarvaskő,192.93428649228372,1634.295000076592
2255,Magyarország,Szarvaskő,,,Szarvaskő_007,,Szarvaskő,398.98566192650435,7746.2849999431155
2256,Magyarország,Szarvaskő,,,Szarvaskő_008,,Szarvaskő,325.1543953731227,4239.230000055098
2257,Magyarország,Szarvaskő,,,Szarvaskő_009,,Szarvaskő,682.8060011510805,15065.030219969443
2258,Magyarország,Szarvaskő,,,Szarvaskő_010,,Szarvaskő,209.10819689484256,2521.0852449728136
2259,Magyarország,Szarvaskő,,,Szarvaskő_011,,Szarvaskő,1073.2884023313293,30024.09500008665
2260,Magyarország,Szarvaskő,,,Szarvaskő_012,,Szarvaskő,140.71207675390443,1129.1049999915808
2261,Magyarország,Szarvaskő,,,Szarvaskő_013,,Szarvaskő,250.45408977821253,2984.959500152288
2262,Magyarország,Szarvaskő,,,Szarvaskő_014,,Szarvaskő,199.0839809255523,1625.8350000027194
2263,Magyarország,Szarvaskő,,,Szarvaskő_015,,Szarvaskő,583.3770922644047,12233.370415032645
2264,Magyarország,Szarvaskő,,,Szarvaskő_016,,Szarvaskő,547.8208048268193,5805.135204760215
2265,Magyarország,Szarvaskő,,,Szarvaskő_017,,Szarvaskő,739.108901823828,16361.559999774363
2266,Magyarország,Szarvaskő,,,Szarvaskő_018,,Szarvaskő,394.0197773886283,5596.324999988265
2267,Magyarország,Szarvaskő,,,Szarvaskő_019,,Szarvaskő,402.71895980801065,4938.552465032554
2268,Magyarország,Szarvaskő,,,Szarvaskő_020,,Szarvaskő,508.72589859752503,7264.279999961033
2269,Magyarország,Szarvaskő,,,Szarvaskő_021,,Szarvaskő,914.4625127793346,33023.725000195955
2270,Magyarország,Szarvaskő,,,Szarvaskő_022,,Szarvaskő,774.8715594559313,27991.50579271653
2271,Magyarország,Szarvaskő,,,Szarvaskő_023,,Szarvaskő,483.4579436676069,13520.295000068398
2272,Magyarország,Szarvaskő,,,Szarvaskő_024,,Szarvaskő,367.79047209889796,7111.664999892413